epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9386,1.08254,2.14712,1.08007,0.94991,0.90305,0.96499,0.71686,0.87814,2.80748,0.88466,0.000658436,0.000658436,0.000658436
2,48.4129,0.99935,1.23383,0.99517,0.91942,0.96825,0.96884,0.7452,0.84496,1.44757,0.97885,0.00123765,0.00123765,0.00123765
3,68.1348,0.98897,0.9594,1.00627,0.96633,1,0.98714,0.79535,0.7238,0.91994,0.96568,0.00172886,0.00172886,0.00172886
4,87.6699,0.90903,0.77849,0.97622,0.97601,1,0.99016,0.81567,0.70728,0.81271,0.96831,0.001604,0.001604,0.001604
5,107.17,0.8913,0.69199,0.97051,0.98293,1,0.99156,0.85417,0.57687,0.55056,0.91801,0.001472,0.001472,0.001472
6,166.443,0.78911,0.59925,0.95775,0.98428,1,0.995,0.85852,0.56795,0.49119,0.90363,0.00134,0.00134,0.00134
7,185.768,0.73802,0.52613,0.9169,0.98315,1,0.99141,0.86315,0.53166,0.46682,0.89361,0.001208,0.001208,0.001208
8,205.122,0.69484,0.49284,0.8968,0.98234,1,0.98266,0.88063,0.49056,0.41037,0.87102,0.001076,0.001076,0.001076
9,224.56,0.65328,0.44972,0.88016,0.98332,1,0.99203,0.90739,0.43226,0.37374,0.87142,0.000944,0.000944,0.000944
10,243.81,0.63615,0.42776,0.88997,0.98314,1,0.98859,0.90013,0.46264,0.36121,0.86954,0.000812,0.000812,0.000812
11,262.898,0.60774,0.40044,0.8683,0.98347,1,0.99281,0.89762,0.44937,0.32677,0.85666,0.00068,0.00068,0.00068
12,282.532,0.59507,0.38343,0.86524,0.98348,1,0.99063,0.92815,0.38984,0.31493,0.85117,0.000548,0.000548,0.000548
13,302.268,0.55569,0.3586,0.85289,0.98346,1,0.99313,0.9232,0.36916,0.29214,0.82805,0.000416,0.000416,0.000416
14,321.531,0.54226,0.34648,0.84844,0.98342,1,0.99453,0.95324,0.32724,0.27083,0.82478,0.000284,0.000284,0.000284
15,340.761,0.51195,0.32254,0.8466,0.98341,1,0.99281,0.94831,0.31875,0.26653,0.82213,0.000152,0.000152,0.000152
