epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0926,1.47341,2.48819,1.07719,0.96958,0.69274,0.91451,0.56896,1.20286,2.33726,1.00496,0.00066,0.00066,0.00066
2,137.3,1.31444,1.40555,1.01005,0.94846,0.92536,0.94757,0.55741,1.28241,1.45843,1.00111,0.0013004,0.0013004,0.0013004
3,202.645,1.30716,1.20485,0.99026,0.95972,0.93176,0.96492,0.56301,1.27999,1.1304,1.02258,0.0019144,0.0019144,0.0019144
4,268.105,1.31695,1.04725,0.99068,0.9713,0.94534,0.98689,0.65201,1.14075,0.8837,0.99516,0.0018812,0.0018812,0.0018812
5,333.442,1.23816,0.96273,0.98618,0.95421,0.9162,0.98465,0.61899,1.17938,0.82183,1.00935,0.0018416,0.0018416,0.0018416
6,398.8,1.21944,0.84304,0.97354,0.94831,0.92242,0.97409,0.68192,1.00972,0.73957,0.96739,0.001802,0.001802,0.001802
7,463.936,1.23404,0.81158,0.99662,0.96028,0.94534,0.97763,0.65146,1.11195,0.74673,0.97429,0.0017624,0.0017624,0.0017624
8,529.31,1.23526,0.79809,0.97006,0.96982,0.94972,0.98694,0.63867,1.17175,0.70224,0.9914,0.0017228,0.0017228,0.0017228
9,594.765,1.21364,0.76804,0.96455,0.9553,0.95531,0.98213,0.69918,0.99624,0.64928,0.93973,0.0016832,0.0016832,0.0016832
10,660.467,1.17712,0.72858,0.95103,0.9617,0.982,0.99122,0.70086,1.00235,0.69194,0.94278,0.0016436,0.0016436,0.0016436
11,726.145,1.16467,0.71829,0.95999,0.97509,0.96648,0.98511,0.68655,1.04948,0.65166,0.95064,0.001604,0.001604,0.001604
12,791.611,1.16605,0.71326,0.95495,0.92482,0.97207,0.9893,0.65386,1.15752,0.67357,0.97872,0.0015644,0.0015644,0.0015644
13,857.124,1.1487,0.69912,0.95507,0.9371,0.96089,0.98207,0.66999,1.08915,0.60101,0.96529,0.0015248,0.0015248,0.0015248
14,922.346,1.16315,0.6654,0.94858,0.96465,0.96648,0.98696,0.7027,0.96673,0.60544,0.9281,0.0014852,0.0014852,0.0014852
15,987.94,1.11791,0.66302,0.9336,0.97211,0.97367,0.99201,0.7106,1.0039,0.561,0.93888,0.0014456,0.0014456,0.0014456
16,1053.23,1.13268,0.66443,0.94282,0.9522,0.98324,0.99236,0.69734,1.02475,0.58569,0.9465,0.001406,0.001406,0.001406
17,1118.65,1.07371,0.61643,0.91526,0.95174,0.99149,0.99146,0.66947,1.10376,0.57224,0.95512,0.0013664,0.0013664,0.0013664
18,1184,1.10662,0.62047,0.93337,0.96149,0.97632,0.98991,0.70018,0.9635,0.55218,0.93621,0.0013268,0.0013268,0.0013268
19,1249.26,1.09114,0.61546,0.92099,0.95632,0.9786,0.992,0.66217,1.09856,0.58489,0.95104,0.0012872,0.0012872,0.0012872
20,1314.7,1.073,0.60043,0.92111,0.97278,0.96089,0.98862,0.70997,0.96704,0.53743,0.93514,0.0012476,0.0012476,0.0012476
21,1380.2,1.08455,0.59216,0.91505,0.9592,0.97765,0.98374,0.67663,0.99341,0.54636,0.93604,0.001208,0.001208,0.001208
22,1445.46,1.0861,0.59857,0.92708,0.97617,0.96648,0.99197,0.7173,0.95205,0.52019,0.91811,0.0011684,0.0011684,0.0011684
23,1511.14,1.08474,0.59662,0.92137,0.96571,0.96648,0.98952,0.7281,0.9234,0.50304,0.91448,0.0011288,0.0011288,0.0011288
24,1576.47,1.02911,0.58084,0.91739,0.98324,0.98295,0.99428,0.73916,0.86922,0.49063,0.90217,0.0010892,0.0010892,0.0010892
25,1641.71,1.01696,0.57056,0.92175,0.95961,0.96648,0.99109,0.67064,1.10338,0.52151,0.95543,0.0010496,0.0010496,0.0010496
26,1707.11,1.05209,0.57932,0.91079,0.97039,0.98324,0.99312,0.68958,1.03683,0.52913,0.93211,0.00101,0.00101,0.00101
27,1772.38,1.04996,0.56958,0.90766,0.96399,0.96648,0.98903,0.73233,0.89986,0.50851,0.90527,0.0009704,0.0009704,0.0009704
28,1837.77,1.06142,0.58229,0.91656,0.97772,0.98049,0.99043,0.67407,1.05629,0.54848,0.94296,0.0009308,0.0009308,0.0009308
29,1902.73,1.01758,0.55489,0.91975,0.95651,0.9829,0.98969,0.72386,0.92024,0.50996,0.91015,0.0008912,0.0008912,0.0008912
30,1967.81,1.02757,0.5637,0.90441,0.97133,0.98324,0.98545,0.69589,0.95259,0.52679,0.91915,0.0008516,0.0008516,0.0008516
31,2033.33,0.99088,0.5362,0.90245,0.96028,0.98324,0.98989,0.72143,0.89834,0.49492,0.90736,0.000812,0.000812,0.000812
32,2098.87,1.0031,0.53115,0.90063,0.96272,0.97765,0.99123,0.7232,0.91325,0.48956,0.91497,0.0007724,0.0007724,0.0007724
33,2164.34,1.0041,0.52692,0.90985,0.96612,0.95584,0.99165,0.66221,1.16979,0.5265,0.96893,0.0007328,0.0007328,0.0007328
34,2230.29,0.97301,0.51709,0.90182,0.95661,0.97765,0.98748,0.71195,0.97417,0.489,0.92892,0.0006932,0.0006932,0.0006932
35,2295.58,0.97896,0.5102,0.89106,0.96858,0.96648,0.98983,0.74278,0.88079,0.45296,0.90314,0.0006536,0.0006536,0.0006536
36,2360.95,0.96852,0.50265,0.89835,0.96764,0.97207,0.99232,0.71257,0.96599,0.48705,0.91472,0.000614,0.000614,0.000614
37,2426.69,0.94667,0.49712,0.8901,0.95092,0.97423,0.99115,0.71918,0.93404,0.46935,0.91054,0.0005744,0.0005744,0.0005744
38,2491.91,0.9622,0.49968,0.89081,0.97236,0.98271,0.99193,0.74734,0.86695,0.45804,0.90117,0.0005348,0.0005348,0.0005348
39,2557.22,0.93357,0.4922,0.88275,0.96287,0.97765,0.99241,0.71962,0.92601,0.47107,0.91852,0.0004952,0.0004952,0.0004952
